Feature
e_sp
pdata_PointerToRawData
NumberOfSymbols
iphlpapi.dll
PointerToSymbolTable
api-ms-win-crt-runtime-l1-1-0.dll
pdata_Misc_VirtualSize
api-ms-win-core-synch-l1-1-0.dll
libgimpui-2.0-0.dll
imm32.dll
bcrypt.dll
api-ms-win-core-processthreads-l1-1-0.dll
api-ms-win-core-errorhandling-l1-1-0.dll
odbc32.dll
uxtheme.dll
libgimpwidgets-2.0-0.dll
api-ms-win-core-sysinfo-l1-1-0.dll
SizeOfHeapCommit
api-ms-win-core-string-l1-1-0.dll
rsrc_PointerToLinenumbers
api-ms-win-core-synch-l1-2-0.dll
api-ms-win-crt-math-l1-1-0.dll
pdata_VirtualAddress
pdh.dll
api-ms-win-crt-heap-l1-1-0.dll
reloc_PointerToLinenumbers
api-ms-win-crt-locale-l1-1-0.dll
msvcp60.dll
mswsock.dll
msvcr120.dll
url.dll
msvcp140.dll
text_PointerToLinenumbers
edata_Characteristics
msacm32.dll
edata_SizeOfRawData
resutils.dll
secur32.dll
api-ms-win-core-util-l1-1-0.dll
api-ms-win-core-localization-l1-2-0.dll
api-ms-win-core-interlocked-l1-1-0.dll
mscms.dll
api-ms-win-core-rtlsupport-l1-2-0.dll
edata_Misc_VirtualSize
msvcp120.dll
opengl32.dll
api-ms-win-core-localization-l1-2-1.dll
api-ms-win-core-handle-l1-1-0.dll
wsnmp32.dll
msvcr100.dll
edata_PointerToRawData
api-ms-win-crt-string-l1-1-0.dll
edata_VirtualAddress
olepro32.dll
getmodulehandlea
corexemain
loadlibrarya
raiseexception
getprocaddress
loadicona
vbastrcopy
eventsinkqueryinterface
virtualfree
adjfptan
variantchangetypeex
getcurrentthreadid
translatemessage
vbafreeobj
vbaexcepthandler
exitprocess
virtualalloc
sethandlecount
vbafpexception
loadcursora
showwindow
dispatchmessagea
adjfdivm64
updatewindow
virtualprotect
getversion
setunhandledexceptionfilter
getsyscolorbrush
adjfdivrm16i
createwindowexa
heapcreate
getmodulehandlew
cicos
defwindowproca
rtlunwind
vbanew2
adjfdivm32
getcurrentprocessid
vbachkstk
heaprealloc
allmul
widechartomultibyte
getstdhandle
getstringtypea
getmessagea
sendmessagea
vbastrvarmove
polyline
vbafreevarlist
isdebuggerpresent
terminateprocess
unhandledexceptionfilter
vbavardup
vbafreevar
eventsinkaddref
multibytetowidechar
adjfprem
comparefiletime
escape
getlasterror
heapfree
getstockobject
getconsoleoutputcp
getconsolecp
entercriticalsection
leavecriticalsection
beginpaint
heapsize
getenvironmentstringsw
eventsinkrelease
getversionexw
getversionexa
getstartupinfow
vbafreestr
vbaarydestruct
adjfdivm32i
adjfdivrm32
ciexp
getstringtypew
initializecriticalsectionandspincount
cisqrt
flushfilebuffers
destroywindow
interlockeddecrement
setcapture
writeconsolea
sleep
getmodulefilenamew
tlsalloc
deletecriticalsection
playsounda
gettickcount
isvalidcodepage
vbaarylock
tlsfree
getshortpathnamea
sysstringlen
setcursor
getoemcp
isiconic
getprocessheap
registerclassexa
vbastrmove
loadlibraryw
findresourcea
dllonexit
postquitmessage
getcurrentprocess
tlsgetvalue
tlssetvalue
exit
searchpatha
vbaaryconstruct2
writefile
dptolp
getmodulefilenamea
createprocessw
adjfdivrm64
isbadwriteptr
getenvironmentstrings
xcptfilter
imagelistcreate
getcommandlinea
setstdhandle
outputdebugstringw
regclosekey
freelibrary
globalfree
queryperformancecounter
sizeofresource
vbaubound
ciatan
lcmapstringa
cilog
createfilew
getfileversioninfoa
getstartupinfoa
loadbitmapa
onexit
imagelistreplaceicon
appendmenuw
drawtexta
vbaobjvar
copyrect
vbaobjsetaddref
loadresource
dllfunctioncall
lptodp
vbavarvargnofree
getconsolealiaseslengtha
cxxframehandler
adjfdivm16i
buildcommdcbandtimeoutsa
ftol
interlockedincrement
enablewindow
createdirectoryw
outputdebugstringa
getconsolemode
setwindowrgn
enddialog
fmode
setenvironmentvariablew
vbai2var
lstrcpynw
heapsetinformation
imagelistgeticonsize
releasecapture
vbastrcat
imagelistread
lcmapstringw
rtllookupfunctionentry
adjustfdiv
freeenvironmentstringsa
getclientrect
regcreatekeyexw
getprocesswindowstation
excepthandler3
setapptype
waitforsingleobject
createfilea
vbaaryunlock
getwindowrect
vbafreeobjlist
initterm
writeconsoleinputa
controlfp
adjfdivrm32i
imagelistgetimagecount
vbavar2vec
cisin
lstrlena
lstrlenw
vbaobjset
openprocesstoken
sendnotifymessagea
decodepointer
getmapmode
movefilew
getsystemtimeasfiletime
